DISTRICT,YEAR,PRODUCTION,AREA,YIELD,GDD,HEAT_STRESS_DAYS,PRECIP,PET,P_MINUS_PET,TMEAN,TMX,TMN,DTR,VPD,RH,VAP_KPA,CROP
Larkana,2022.0,304.45,85.03,3.58,6757.70005607605,206.25,280.3,49.4,230.90001,32.6875,40.1,25.325,14.775,0.0,100.0,22.0875,RICE
Larkana,2023.0,418.96,105.0,3.99,6674.800138473511,213.22501182556152,147.3,49.100002,98.200005,32.3375,39.75,24.975,14.775001,0.0,100.0,21.875,RICE
Larkana,2024.0,440.8,165.05,2.67,6920.1002559661865,214.0,111.1,50.100002,61.0,33.3375,40.75,25.975,14.775001,0.0,100.0,22.725,RICE
Sanghar,2000.0,10.31,6.68,1.54,6507.000137329102,214.0,53.3,51.8,1.4999986,31.650002,39.65,23.675,15.975001,0.0,100.0,24.112501,RICE
Sanghar,2001.0,3.84,7.12,0.54,6407.200103759766,214.0,83.700005,51.2,32.5,31.237501,39.237503,23.2625,15.975,0.0,100.0,24.0875,RICE
Sanghar,2002.0,7.42,3.04,2.44,6480.300092697144,211.7500057220459,20.2,51.600002,-31.4,31.5375,39.537502,23.5625,15.975,0.0,100.0,24.2875,RICE
Sanghar,2003.0,27.78,9.9,2.81,6332.700174331665,207.0749883651733,243.00002,51.0,192.0,30.9375,38.9375,22.9625,15.975,0.0,100.0,23.737501,RICE
Sanghar,2004.0,0.2,0.1,1.97,6429.900140762329,203.15001773834229,30.199999,51.9,-21.7,31.337502,39.3375,23.362501,15.975001,0.0,100.0,23.85,RICE
Sanghar,2005.0,0.2,0.1,1.98,6372.400152206421,210.90001773834229,51.600002,51.3,0.3000002,31.1,39.100002,23.125,15.975,0.0,100.0,23.737501,RICE
Sanghar,2006.0,2.3,1.79,1.29,6362.80027961731,210.19999980926517,153.7,51.2,102.5,31.050001,39.05,23.075,15.975,0.0,100.0,24.150002,RICE
Sanghar,2007.0,6.65,2.78,2.39,6475.500078201294,207.02501773834229,141.6,51.7,89.9,31.525,39.525,23.550001,15.975,0.0,100.0,24.212502,RICE
Sanghar,2008.0,41.28,13.32,3.1,6358.100208282471,211.6750059127808,107.3,51.100002,56.200005,31.0375,39.037502,23.0625,15.975,0.0,100.0,23.85,RICE
Sanghar,2009.0,42.71,14.1,3.03,6483.800222396851,212.44999408721924,116.299995,51.9,64.399994,31.550001,39.55,23.575,15.975,0.0,100.0,24.4,RICE
Sanghar,2010.0,8.23,3.22,2.55,6541.099977493286,214.0,296.6,52.100002,244.49998,31.7875,39.787502,23.8125,15.975,0.0,100.0,24.4375,RICE
Sanghar,2011.0,7.64,3.89,1.97,6431.100080490112,209.40004062652588,97.100006,51.3,45.8,31.337502,39.3375,23.3625,15.975,0.0,100.0,24.25,RICE
Sanghar,2012.0,18.81,5.99,3.14,6376.700338363648,207.0749883651733,75.1,51.4,23.699997,31.112501,39.1125,23.1375,15.974999,0.0,100.0,24.1,RICE
Sanghar,2013.0,17.47,6.41,2.73,6389.000093460083,213.22501182556152,134.40001,51.2,83.2,31.1625,39.162502,23.1875,15.975,0.0,100.0,24.375,RICE
Sanghar,2014.0,17.41,6.45,2.7,6458.400068283081,214.0,35.7,51.8,-16.1,31.45,39.45,23.475,15.975001,0.0,100.0,24.1875,RICE
Sanghar,2015.0,17.74,6.41,2.77,6428.000127792358,214.0,129.0,51.4,77.6,31.325,39.325,23.35,15.975,0.0,100.0,23.9625,RICE
Sanghar,2016.0,17.44,6.48,2.69,6494.90020942688,214.0,70.200005,52.2,17.999998,31.6,39.600002,23.625,15.975001,0.0,100.0,24.35,RICE
Sanghar,2017.0,17.61,6.42,2.74,6486.700176239014,214.0,101.9,51.9,50.0,31.5625,39.5625,23.5875,15.975,0.0,100.0,24.425,RICE
Sanghar,2018.0,17.72,6.44,2.75,6534.600128173828,214.0,36.100002,51.9,-15.800001,31.7625,39.7625,23.7875,15.975001,0.0,100.0,24.650002,RICE
Sanghar,2019.0,17.58,6.5,2.71,6530.700174331665,212.44999408721924,143.8,52.2,91.600006,31.75,39.75,23.775,15.975,0.0,100.0,24.425001,RICE
Sanghar,2020.0,17.73,6.51,2.72,6533.000230789185,214.0,253.1,52.600002,200.5,31.750002,39.75,23.775,15.975,0.0,100.0,24.2875,RICE
Sanghar,2021.0,17.63,6.51,2.71,6486.200290679932,213.22501182556152,73.8,52.0,21.8,31.5625,39.5625,23.5875,15.975001,0.0,100.0,24.375,RICE
Sanghar,2022.0,17.71,5.69,3.11,6505.700023651123,212.45002365112305,371.0,52.2,318.80002,31.65,39.65,23.675001,15.975,0.0,100.0,24.2,RICE
Sanghar,2023.0,19.03,5.48,3.47,6400.200080871582,214.0,206.7,51.100002,155.59999,31.2125,39.2125,23.237501,15.975,0.0,100.0,24.35,RICE
Sanghar,2024.0,23.88,8.58,2.78,6629.70013999939,216.2499942779541,228.9,52.600002,176.3,32.15,40.15,24.175001,15.975,0.0,100.0,24.9,RICE
Dadu,2000.0,174.3,37.27,4.68,6507.700201034546,212.44999408721924,54.0,49.7,4.2999988,31.650002,39.5125,23.8375,15.675,0.0,100.0,22.925,RICE
Dadu,2001.0,109.46,38.69,2.83,6508.00013923645,213.22501182556152,69.2,49.8,19.4,31.650002,39.5125,23.8375,15.675001,0.0,100.0,22.900002,RICE
Dadu,2002.0,93.92,32.72,2.87,6651.600046157837,213.22501182556152,31.800001,50.5,-18.7,32.2375,40.100002,24.425,15.675001,0.0,100.0,23.25,RICE
Dadu,2003.0,89.59,49.71,1.8,6396.6000118255615,205.47501182556152,220.1,49.4,170.70001,31.2,39.0625,23.3875,15.675001,0.0,100.0,22.5125,RICE
Dadu,2004.0,127.18,45.24,2.81,6533.400190353394,196.94999408721924,25.400002,50.2,-24.8,31.7625,39.625,23.95,15.675,0.0,100.0,22.575,RICE
Dadu,2005.0,122.12,43.87,2.78,6458.100244522095,208.57499408721924,41.4,49.9,-8.5,31.45,39.3125,23.6375,15.674999,0.0,100.0,22.475,RICE
Dadu,2006.0,123.29,39.51,3.12,6575.700151443481,199.7500171661377,123.4,50.100002,73.299995,31.9125,39.775,24.1,15.675001,0.0,100.0,22.8875,RICE
Dadu,2007.0,125.86,37.82,3.33,6649.100044250488,202.375,109.4,50.7,58.7,32.2375,40.100002,24.425001,15.675,0.0,100.0,22.9375,RICE
Dadu,2008.0,205.51,55.24,3.72,6575.399988174439,214.0,90.200005,50.2,40.0,31.925,39.787502,24.112501,15.675001,0.0,100.0,22.85,RICE
Dadu,2009.0,172.63,46.58,3.71,6665.000034332275,210.125,86.6,50.9,35.7,32.2875,40.15,24.475,15.675,0.0,100.0,23.0125,RICE
Dadu,2010.0,56.97,17.97,3.17,6709.600212097168,214.0,180.3,51.0,129.3,32.475002,40.3375,24.6625,15.675,0.0,100.0,22.9875,RICE
